type,signals,wins,losses,expired,unique_tickers,win_rate,avg_pct,median_pct,avg_days,ev,avg_win,avg_loss,tp,sl,max_hold,rsi7_th,intra_th,ret_field,ret_th,down_th,rsi14_th,price_max,ret5d_th,vol_mult,ret1d_th,gap_th,bb_width_max,bb_pos_th,dist_high_th,rsi14_min,up_days_min
PENNY_CRASH,553,242,282,29,274,43.8,5.43,-20.0,7.3,5.43,36.45,-18.71,0.4,-0.2,30,,15.0,,,,20.0,5.0,-40.0,,,,,,,,
PENNY_CRASH,187,80,102,5,127,42.8,5.32,-20.0,4.7,5.32,38.13,-19.21,0.4,-0.2,30,,30.0,,,,20.0,5.0,-50.0,,,,,,,,
PENNY_CRASH,1037,464,506,67,507,44.7,5.24,-12.6,9.5,5.24,34.53,-18.48,0.4,-0.2,30,,15.0,,,,20.0,5.0,-25.0,,,,,,,,
PENNY_CRASH,729,322,363,44,420,44.2,5.22,-17.56,8.6,5.22,35.32,-18.59,0.4,-0.2,30,,20.0,,,,20.0,5.0,-25.0,,,,,,,,
PENNY_CRASH,815,355,410,50,402,43.6,5.08,-20.0,8.4,5.08,35.69,-18.53,0.4,-0.2,30,,15.0,,,,20.0,5.0,-30.0,,,,,,,,
PENNY_CRASH,348,147,188,13,171,42.2,4.98,-20.0,6.4,4.98,37.88,-19.07,0.4,-0.2,30,,15.0,,,,20.0,5.0,-50.0,,,,,,,,
PENNY_CRASH,598,256,309,33,340,42.8,4.92,-20.0,7.4,4.92,36.45,-18.69,0.4,-0.2,30,,20.0,,,,20.0,5.0,-30.0,,,,,,,,
PENNY_CRASH,429,183,226,20,240,42.7,4.83,-20.0,6.6,4.83,36.68,-18.86,0.4,-0.2,30,,20.0,,,,20.0,5.0,-40.0,,,,,,,,
PENNY_CRASH,456,195,235,26,268,42.8,4.6,-20.0,8.2,4.6,35.72,-18.64,0.4,-0.2,30,,20.0,,,,20.0,3.0,-25.0,,,,,,,,
PENNY_CRASH,637,274,323,40,326,43.0,4.58,-20.0,8.8,4.58,35.09,-18.45,0.4,-0.2,30,,15.0,,,,20.0,3.0,-25.0,,,,,,,,
PENNY_CRASH,278,115,154,9,153,41.4,4.55,-20.0,5.5,4.55,38.14,-19.14,0.4,-0.2,30,,20.0,,,,20.0,5.0,-50.0,,,,,,,,
PENNY_CRASH,1593,698,794,101,709,43.8,4.52,-17.12,9.6,4.52,33.88,-18.37,0.4,-0.2,30,,15.0,,,,25.0,3.0,-25.0,,,,,,,,
PENNY_CRASH,553,272,258,23,274,49.2,4.47,-0.43,5.9,4.47,28.57,-18.86,0.3,-0.2,30,,15.0,,,,20.0,5.0,-40.0,,,,,,,,
PENNY_CRASH,511,220,266,25,342,43.1,4.46,-20.0,7.1,4.46,35.01,-18.64,0.4,-0.2,30,,30.0,,,,25.0,3.0,-30.0,,,,,,,,
PENNY_CRASH,593,255,306,32,393,43.0,4.43,-20.0,7.7,4.43,34.93,-18.59,0.4,-0.2,30,,30.0,,,,25.0,3.0,-25.0,,,,,,,,
PENNY_CRASH,377,157,199,21,223,41.6,4.43,-20.0,7.2,4.43,36.63,-18.56,0.4,-0.2,30,,20.0,,,,20.0,3.0,-30.0,,,,,,,,
PENNY_CRASH,1037,514,470,53,507,49.6,4.36,-0.43,7.8,4.36,27.83,-18.7,0.3,-0.2,30,,15.0,,,,20.0,5.0,-25.0,,,,,,,,
PENNY_CRASH,1227,529,625,73,567,43.1,4.35,-20.0,8.9,4.35,34.47,-18.48,0.4,-0.2,30,,15.0,,,,25.0,3.0,-30.0,,,,,,,,
PENNY_CRASH,1968,846,998,124,812,43.0,4.32,-20.0,9.2,4.32,34.57,-18.48,0.4,-0.2,30,,15.0,,,,25.0,5.0,-30.0,,,,,,,,
PENNY_CRASH,275,115,146,14,186,41.8,4.31,-20.0,6.0,4.31,36.35,-18.71,0.4,-0.2,30,,30.0,,,,20.0,5.0,-40.0,,,,,,,,
PENNY_CRASH,2556,1110,1277,169,995,43.4,4.3,-17.63,9.9,4.3,33.87,-18.4,0.4,-0.2,30,,15.0,,,,25.0,5.0,-25.0,,,,,,,,
