strategy,ticker,date,scan_time,price,rsi7,intraday,ret3d,consec_down,dist_low5,tp_price,sl_price,ret1d,rsi14,ret5d,hold_days,vol_20d,dist_52w,bb_pctb,ret_1d,gap_pct,atr_change
1,MNDR,2026-07-24,07:19 KST,2.18,11.6,38.5,-27.6,6.0,2.3,2.29,1.74,,,,,,,,,,
3,FTCI,2026-07-24,07:19 KST,2.96,10.1,21.4,,4.0,0.68,3.11,2.37,-14.5,,,,,,,,,
3,LSTA,2026-07-24,07:19 KST,1.67,11.2,28.3,,5.0,1.58,1.75,1.34,-21.2,,,,,,,,,
3,MNDR,2026-07-24,07:19 KST,2.18,11.6,38.5,,6.0,2.35,2.29,1.74,-17.1,,,,,,,,,
3,EGG,2026-07-24,07:19 KST,5.1,14.4,37.7,,4.0,2.82,5.35,4.08,-20.3,,,,,,,,,
3,GORO,2026-07-24,07:19 KST,2.0,15.6,21.0,,5.0,2.56,2.1,1.6,-12.7,,,,,,,,,
3,HQ,2026-07-24,07:19 KST,11.7,16.9,21.0,,5.0,1.12,12.28,9.36,-14.8,,,,,,,,,
3,SLMT,2026-07-24,07:19 KST,3.87,24.8,26.0,,4.0,1.57,4.06,3.1,-15.1,,,,,,,,,
3,BIYA,2026-07-24,07:19 KST,1.93,26.9,27.7,,5.0,1.03,2.03,1.54,-28.0,,,,,,,,,
4,BAOS,2026-07-24,07:19 KST,1.17,,53.6,,,,1.4,,,21.9,-53.4,30.0,,,,,,
6,MSS,2026-07-24,07:19 KST,1.84,,,,,,2.76,1.47,,,,20.0,10.1,-99.1,-0.125,-28.4,16.9,
6,HIMZ,2026-07-24,07:19 KST,29.77,,,,,,44.66,23.82,,,,20.0,10.4,-94.5,-0.134,-28.9,6.0,
8,MSS,2026-07-24,07:19 KST,1.84,25.4,,,,,2.58,1.47,,,,20.0,,-99.1,,-28.4,16.9,27.1
