strategy,ticker,date,scan_time,price,rsi7,intraday,ret3d,consec_down,dist_low5,tp_price,sl_price,ret1d,ret5d,vol_avg,hold_days
1,MNDR,2026-07-29,07:11 KST,1.45,6.4,21.8,-33.5,9,3.6,1.52,1.16,,,,
1,ORN,2026-07-29,07:11 KST,9.08,9.3,26.3,-28.4,6,4.7,9.53,7.26,,,,
1,VWAV,2026-07-29,07:11 KST,2.09,12.7,26.3,-29.4,7,2.0,2.19,1.67,,,,
1,TEUP,2026-07-29,07:11 KST,2.02,13.4,29.0,-46.8,6,3.9,2.12,1.62,,,,
1,CAST,2026-07-29,07:11 KST,1.2,15.7,39.5,-37.8,8,0.8,1.26,0.96,,,,
1,COHX,2026-07-29,07:11 KST,16.22,19.0,23.6,-39.9,6,0.7,17.03,12.98,,,,
3,BCAR,2026-07-29,07:11 KST,4.16,0.3,56.9,,4,0.24,4.37,3.33,-26.5,,,
3,NAUT,2026-07-29,07:11 KST,1.04,12.3,21.0,,4,1.95,1.09,0.83,-13.3,,,
3,VWAV,2026-07-29,07:11 KST,2.09,12.7,26.3,,7,1.95,2.19,1.67,-8.7,,,
3,VRTL,2026-07-29,07:11 KST,21.26,14.5,30.0,,4,2.19,22.33,17.01,-34.2,,,
3,AIAI,2026-07-29,07:11 KST,4.63,14.8,33.0,,4,1.09,4.86,3.7,-16.0,,,
3,AMKL,2026-07-29,07:11 KST,5.11,15.3,27.8,,5,0.2,5.37,4.09,-13.1,,,
3,CAST,2026-07-29,07:11 KST,1.2,15.7,39.5,,8,0.84,1.26,0.96,-29.4,,,
3,XHLD,2026-07-29,07:11 KST,1.25,16.6,25.4,,4,2.46,1.31,1.0,-18.3,,,
3,FRVO,2026-07-29,07:11 KST,17.08,18.1,27.0,,5,1.12,17.93,13.66,-19.1,,,
3,COHX,2026-07-29,07:11 KST,16.22,19.0,23.6,,6,0.75,17.03,12.98,-17.5,,,
3,COHH,2026-07-29,07:11 KST,4.08,19.3,22.0,,4,1.37,4.28,3.26,-17.4,,,
3,FCUV,2026-07-29,07:11 KST,1.79,19.4,22.9,,5,0.0,1.88,1.43,-15.2,,,
3,KLAG,2026-07-29,07:11 KST,21.9,19.9,27.4,,4,0.0,22.99,17.52,-23.3,,,
3,PLBL,2026-07-29,07:11 KST,5.58,20.2,23.2,,4,0.18,5.86,4.46,-17.3,,,
3,CRWG,2026-07-29,07:11 KST,10.81,20.3,22.2,,5,1.41,11.35,8.65,-19.0,,,
3,CWVX,2026-07-29,07:11 KST,8.91,20.3,22.5,,5,0.9,9.36,7.13,-19.1,,,
3,CRWU,2026-07-29,07:11 KST,2.06,20.6,22.9,,5,1.23,2.16,1.65,-19.1,,,
3,KEEX,2026-07-29,07:11 KST,28.8,22.1,29.0,,4,0.0,30.24,23.04,-29.9,,,
3,COZX,2026-07-29,07:11 KST,10.15,22.6,36.0,,4,0.3,10.66,8.12,-24.9,,,
3,AAOX,2026-07-29,07:11 KST,7.01,23.6,38.2,,4,1.01,7.36,5.61,-26.4,,,
3,RAM,2026-07-29,07:11 KST,8.4,23.6,20.8,,4,1.33,8.82,6.72,-12.6,,,
3,AAOG,2026-07-29,07:11 KST,1.57,23.7,37.7,,4,1.29,1.65,1.26,-26.3,,,
3,LITX,2026-07-29,07:11 KST,15.41,24.8,22.4,,4,2.53,16.18,12.33,-15.5,,,
3,MUU,2026-07-29,07:11 KST,19.63,24.8,31.7,,4,0.1,20.61,15.7,-20.0,,,
3,SILC,2026-07-29,07:11 KST,34.92,24.9,28.2,,6,2.71,36.67,27.94,-8.2,,,
3,MULL,2026-07-29,07:11 KST,13.67,25.0,31.7,,4,0.0,14.35,10.94,-20.0,,,
3,CRDU,2026-07-29,07:11 KST,9.21,25.3,20.8,,4,0.0,9.67,7.37,-15.6,,,
3,MRAL,2026-07-29,07:11 KST,34.43,25.6,28.6,,4,1.3,36.15,27.55,-22.8,,,
3,RIOX,2026-07-29,07:11 KST,23.15,27.8,33.3,,4,1.44,24.31,18.52,-28.0,,,
5,AMKL,2026-07-29,07:11 KST,5.11,,27.8,,5,,5.62,,,-64.3,268594.0,30.0
5,IREX,2026-07-29,07:11 KST,8.31,,43.8,,5,,9.14,,,-52.0,1123783.0,30.0
5,IRE,2026-07-29,07:11 KST,5.9,,43.2,,5,,6.49,,,-51.8,8335497.0,30.0
5,IREG,2026-07-29,07:11 KST,4.71,,42.9,,6,,5.18,,,-51.4,768781.0,30.0
5,CWVX,2026-07-29,07:11 KST,8.91,,22.5,,5,,9.8,,,-47.5,1116697.0,30.0
5,LABX,2026-07-29,07:11 KST,8.68,,25.2,,5,,9.55,,,-45.5,909532.0,30.0
5,FXHO,2026-07-29,07:11 KST,8.77,,37.8,,6,,9.65,,,-40.0,479293.0,30.0
5,ORN,2026-07-29,07:11 KST,9.08,,26.3,,6,,9.99,,,-31.0,587331.0,30.0
