strategy,ticker,date,scan_time,price,rsi7,intraday,ret3d,consec_down,dist_low5,tp_price,sl_price,ret1d,rsi14,ret5d,hold_days,vol_avg
1,APUS,2026-09-15,08:39 KST,1.64,8.4,30.5,-24.4,10.0,1.4,1.72,1.31,,,,,
1,CSAI,2026-09-15,08:39 KST,3.27,10.9,24.6,-28.3,9.0,1.9,3.43,2.62,,,,,
1,CTMX,2026-09-15,08:39 KST,2.69,16.6,20.3,-19.7,6.0,0.9,2.82,2.15,,,,,
1,AIFU,2026-09-15,08:39 KST,9.57,16.8,24.9,-22.9,7.0,0.4,10.05,7.66,,,,,
3,APUS,2026-09-15,08:39 KST,1.64,8.4,30.5,,10.0,1.39,1.72,1.31,-21.5,,,,
3,CSAI,2026-09-15,08:39 KST,3.27,10.9,24.6,,9.0,1.87,3.43,2.62,-18.6,,,,
3,CTMX,2026-09-15,08:39 KST,2.69,16.6,20.3,,6.0,0.94,2.82,2.15,-15.9,,,,
3,AIFU,2026-09-15,08:39 KST,9.57,16.8,24.9,,7.0,0.37,10.05,7.66,-9.8,,,,
4,FEED,2026-09-15,08:39 KST,1.03,,307.1,,,,1.24,,,17.4,-75.9,30.0,
5,CRBP,2026-09-15,08:39 KST,6.92,,27.7,,8.0,,7.61,,,,-34.7,30.0,1263400.0
