ticker,date,year,month,day_of_week,quarter,surge_open,surge_high,surge_low,surge_close,surge_volume,prev_close,daily_return_pct,open_gap_pct,price_before_surge,is_penny_stock,is_micro_price,is_sub_10,price_bucket,intraday_range_pct,avg_vol_5d,avg_vol_10d,avg_vol_20d,surge_vol_vs_5d,surge_vol_vs_20d,is_low_vol_before,is_very_low_vol,vol_trend_5d,ret_1d_before,ret_3d_before,ret_5d_before,ret_10d_before,ret_20d_before,ret_40d_before,ret_60d_before,max_drawdown_5d,volatility_5d,volatility_10d,volatility_20d,atr_14,atr_pct_of_price,avg_intraday_range_20d,rsi_7,rsi_14,rsi_7_oversold,rsi_14_oversold,bb_width,bb_position,below_lower_bb,bb_squeeze,macd,macd_signal,macd_histogram,stoch_k,stoch_d,williams_r,mfi_14,cci_20,adx_14,obv_5d_slope,obv_20d_slope,dist_from_sma5_pct,dist_from_sma10_pct,dist_from_sma20_pct,dist_from_sma50_pct,below_all_sma,dist_from_20d_high_pct,dist_from_20d_low_pct,dist_from_period_high_pct,dist_from_period_low_pct,consecutive_down_days,consecutive_up_days,prev_day_gap_down,green_candle_ratio_5d,gap_up_on_surge,next_1d_return,next_3d_return,next_5d_return,next_5d_max_drawdown,next_5d_max_gain
AACG,2021-02-04,2021,2,3,1,3.67,19.75,3.45,14.3,315842300,1.36,951.47,169.85,1.36,1,0,1,$1-5,472.46,44800,45340,53940,7050.05,5855.44,1,0,-16.94,-2.86,1.49,7.09,-2.86,11.48,14.29,17.24,-9.29,3.73,3.34,3.21,0.1171,8.61,7.63,55.84,56.89,0,0,19.19,0.7051,0.0,0.0,0.035,0.0335,0.0016,48.28,52.26,-51.72,59.71,69.69,42.35,22.89,53.29,1.8,0.59,3.94,9.48,0,-9.93,13.33,-9.93,23.64,1,0,0,0.4,169.85,-55.73,-56.57,-60.7,-62.45,-29.23
ABTS,2025-03-10,2025,3,0,1,3.4,4.19,3.123,3.732,110400,0.252,1380.95,1249.21,0.252,1,1,1,<$1,34.17,1012820,513420,283645,0.11,0.39,0,0,257.07,-21.25,-38.69,-39.28,-43.24,-44.0,-43.62,-60.62,-39.28,16.58,12.39,8.98,0.0502,19.93,10.34,21.76,28.3,1,1,46.2,-0.3213,1.0,0.0,-0.0359,-0.0238,-0.0121,0.95,28.8,-99.05,11.97,-298.3,12.81,-91.3,-92.36,-28.0,-34.93,-37.95,-45.59,1,-46.15,0.8,-73.19,0.8,2,0,1,0.4,1249.21,-10.77,-11.31,-11.31,-18.01,0.29
ACRS,2021-01-19,2021,1,1,1,14.05,19.95,13.29,18.83,114362200,5.88,220.24,138.95,5.88,0,0,1,$5-10,50.11,333140,400030,618795,343.29,184.81,0,0,-46.16,-3.61,0.34,-6.96,-9.26,12.21,83.75,38.35,-7.28,3.78,3.02,6.0,0.5594,9.51,10.82,40.48,52.05,0,0,36.61,0.2838,0.0,1.0,0.3352,0.5039,-0.1688,10.0,12.9,-90.0,41.97,-49.89,38.5,-5.19,26.54,-2.78,-5.71,-7.92,23.51,1,-26.04,27.83,-26.04,93.42,1,0,0,0.4,138.95,-4.57,-3.24,-7.17,-13.38,28.94
ADTX,2023-08-31,2023,8,3,3,87597600.0,615443200.0,84072000.0,497200000.0,0,88592000.0,461.22,-1.12,88592000.0,0,0,0,$50+,632.04,0,0,0,0.0,0.0,1,1,-100.0,12.64,28.61,-0.61,-38.75,-37.97,-45.31,-59.17,-22.72,13.48,17.95,12.46,30637851.4286,34.58,22.57,41.88,37.94,0,0,87.96,0.2536,0.0,0.0,-17158541.9733,-14259665.3207,-2898876.6526,12.83,7.13,-87.17,,-60.65,37.5,0.0,0.0,8.67,-11.36,-21.68,-36.7,0,-63.03,33.51,-63.03,33.51,0,2,0,0.2,-1.12,-24.8,-40.09,-48.18,-54.53,-2.27
AEMD,2021-06-09,2021,6,2,2,8480.0,9992.0,6968.0,8632.0,316984,1768.0,388.24,379.64,1768.0,0,0,0,$50+,43.4,2628,2890,1506,120.58,210.41,1,1,74.5,0.45,0.0,-5.56,28.49,30.77,17.55,-7.14,-5.98,1.76,11.16,8.3,146.8571,8.31,8.58,69.24,64.98,0,0,59.79,0.8115,0.0,0.0,93.3878,46.2285,47.1593,59.78,60.94,-40.22,65.03,99.35,40.14,52.12,1431.97,-1.87,7.33,18.63,17.04,0,-14.34,52.41,-14.34,52.41,0,1,0,0.2,379.64,-36.05,-46.34,-51.16,-53.66,-11.03
AGIG,2022-03-07,2022,3,0,1,32.8,139.4,29.6,113.0,19976420,19.0,494.74,72.63,19.0,0,0,0,$10-20,370.95,169244,196250,123985,118.03,161.12,0,0,36.5,32.87,29.25,34.75,68.14,59.66,32.87,11.76,-25.79,14.35,11.91,9.79,1.9143,10.08,12.39,82.09,71.31,0,0,56.48,1.2828,0.0,0.0,0.6102,0.0265,0.5837,91.01,69.05,-8.99,91.07,225.3,26.54,78.51,291.69,23.7,32.5,44.21,35.6,0,-4.04,75.93,-4.04,77.57,0,1,0,0.4,72.63,-38.5,-24.34,-44.69,-53.45,46.99
AHG,2020-08-13,2020,8,3,3,2.307,7.44,2.307,7.44,26073800,1.875,296.8,23.04,1.875,1,0,1,$1-5,222.5,30080,26323,26294,866.82,991.59,1,1,14.39,0.81,-9.68,-13.07,-17.76,-24.61,-24.61,86.57,-13.77,4.39,3.41,2.81,0.1633,8.71,7.25,15.15,32.36,1,0,37.57,0.0001,0.0,0.0,-0.1586,-0.1124,-0.0462,25.0,17.67,-75.0,13.53,-168.09,17.73,-0.17,-0.36,-7.35,-12.15,-18.78,-25.89,1,-29.78,13.64,-63.02,91.13,0,1,0,0.2,23.04,-57.26,-62.5,-63.79,-68.95,-35.48
AHT,2020-11-09,2020,11,0,4,180.0,535.0,177.0,473.0,949734,144.0,228.47,25.0,144.0,0,0,0,$50+,202.26,5412,8420,14888,175.48,63.79,1,1,-63.65,0.0,-2.04,0.7,-7.1,-4.64,-22.99,-60.0,-7.14,6.58,6.66,6.37,19.9286,13.84,12.35,46.7,43.53,0,0,33.63,0.4503,0.0,1.0,-8.4002,-10.5801,2.1799,16.5,17.48,-83.5,67.35,-21.42,18.63,1.5,124.33,-1.64,0.14,-1.67,-21.37,0,-37.39,13.39,-61.19,13.39,0,0,0,0.6,25.0,-13.74,-46.3,-15.01,-47.15,-1.69
AIRT,2020-12-24,2020,12,3,4,11.55,42.93,11.55,38.38,2353800,9.75,293.64,18.46,9.75,0,0,1,$5-10,271.69,28800,19220,11425,81.73,206.02,1,1,152.08,0.72,0.21,-11.28,-12.79,-10.55,-1.32,0.1,-11.92,4.95,4.16,3.64,0.5421,5.56,4.69,26.82,36.67,1,0,24.38,0.0677,0.0,0.0,-0.1788,0.0469,-0.2256,9.89,6.58,-90.11,25.93,-175.33,37.52,91.82,98.05,-2.3,-8.35,-10.54,-7.31,1,-19.55,2.74,-19.55,8.94,0,1,0,0.0,18.46,-47.13,-46.93,-34.73,-54.4,-15.45
ALBT,2024-06-03,2024,6,0,2,4.515,21.6,4.425,18.45,10619327,4.425,316.95,2.03,4.425,1,0,1,$1-5,388.14,32165,16719,11094,330.15,957.13,1,1,189.91,-7.81,3.15,-0.34,5.73,19.43,-2.96,-26.25,-10.63,8.59,7.83,8.82,0.78,17.63,18.73,50.63,50.37,0,0,30.14,0.5854,0.0,0.0,0.0306,-0.0104,0.041,23.4,25.67,-76.6,83.62,72.5,24.51,111.93,173.68,-1.54,0.31,2.57,-0.35,0,-37.89,22.92,-37.89,22.92,1,0,0,0.6,2.03,-30.57,-56.99,-61.79,-65.85,-17.07
